CO_HOGAR;UBIGEO;DE_DEPARTAMENTO;DE_PROVINCIA;DE_DISTRITO;DE_GENERO;FLAG_PADRON_OLD;FLAG_DISCAP_SEVERA;FLAG_MAYEDAD
5;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;2;1;0;1
5;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;2;0;0;0
5;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;1;0;0;1
5;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;2;0;0;0
15;10202;AMAZONAS;BAGUA;ARAMANGO;2;1;0;1
15;10202;AMAZONAS;BAGUA;ARAMANGO;2;0;0;0
17;140120;LAMBAYEQUE;CHICLAYO;TUMAN;1;0;0;1
17;140120;LAMBAYEQUE;CHICLAYO;TUMAN;2;0;0;1
17;140120;LAMBAYEQUE;CHICLAYO;TUMAN;2;1;0;1
17;140120;LAMBAYEQUE;CHICLAYO;TUMAN;2;0;0;0
17;140120;LAMBAYEQUE;CHICLAYO;TUMAN;2;0;0;0
24;10202;AMAZONAS;BAGUA;ARAMANGO;1;0;0;1
24;10202;AMAZONAS;BAGUA;ARAMANGO;2;0;0;0
24;10202;AMAZONAS;BAGUA;ARAMANGO;1;0;0;0
24;10202;AMAZONAS;BAGUA;ARAMANGO;2;1;0;1
24;10202;AMAZONAS;BAGUA;ARAMANGO;1;0;0;0
26;10202;AMAZONAS;BAGUA;ARAMANGO;2;1;0;1
26;10202;AMAZONAS;BAGUA;ARAMANGO;1;0;0;0
28;220913;SAN MARTIN;SAN MARTIN;SAUCE;1;0;0;1
28;220913;SAN MARTIN;SAN MARTIN;SAUCE;2;0;0;0
28;220913;SAN MARTIN;SAN MARTIN;SAUCE;2;1;0;1
31;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
31;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
31;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
31;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;1
32;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
32;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
32;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
32;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;1
32;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
33;10707;AMAZONAS;UTCUBAMBA;YAMON;1;0;0;0
33;10707;AMAZONAS;UTCUBAMBA;YAMON;2;1;0;1
33;10707;AMAZONAS;UTCUBAMBA;YAMON;1;0;0;1
33;10707;AMAZONAS;UTCUBAMBA;YAMON;2;0;0;0
36;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
36;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
51;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
51;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
51;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
51;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
55;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;1
55;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
55;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
55;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
55;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
55;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
55;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
57;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
57;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
60;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
60;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
60;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
62;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
62;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
63;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
63;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;1
63;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
63;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
66;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
66;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
68;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
68;10205;AMAZONAS;BAGUA;IMAZA;2;0;0;0
68;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;1
68;10205;AMAZONAS;BAGUA;IMAZA;2;1;0;1
68;10205;AMAZONAS;BAGUA;IMAZA;1;0;0;0
69;10303;AMAZONAS;BONGARA;CHURUJA;1;0;0;0
69;10303;AMAZONAS;BONGARA;CHURUJA;2;1;0;1
69;10303;AMAZONAS;BONGARA;CHURUJA;1;0;0;1
69;10303;AMAZONAS;BONGARA;CHURUJA;2;0;0;0
71;10307;AMAZONAS;BONGARA;JAZAN;2;1;0;1
71;10307;AMAZONAS;BONGARA;JAZAN;2;0;0;0
71;10307;AMAZONAS;BONGARA;JAZAN;1;0;0;1
71;10307;AMAZONAS;BONGARA;JAZAN;1;0;0;1
71;10307;AMAZONAS;BONGARA;JAZAN;1;0;0;0
71;10307;AMAZONAS;BONGARA;JAZAN;1;0;0;0
72;10306;AMAZONAS;BONGARA;FLORIDA;1;1;0;1
77;150110;LIMA;LIMA;COMAS;2;1;0;1
77;150110;LIMA;LIMA;COMAS;1;0;0;0
77;150110;LIMA;LIMA;COMAS;1;0;0;1
78;10310;AMAZONAS;BONGARA;SHIPASBAMBA;1;0;0;0
78;10310;AMAZONAS;BONGARA;SHIPASBAMBA;2;1;0;1
78;10310;AMAZONAS;BONGARA;SHIPASBAMBA;1;0;0;0
79;10311;AMAZONAS;BONGARA;VALERA;2;1;0;1
79;10311;AMAZONAS;BONGARA;VALERA;1;0;0;1
79;10311;AMAZONAS;BONGARA;VALERA;1;0;0;0
79;10311;AMAZONAS;BONGARA;VALERA;2;0;0;0
79;10311;AMAZONAS;BONGARA;VALERA;2;0;0;0
84;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;1;0;0;0
84;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;2;0;0;0
84;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;2;1;0;1
84;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;2;0;0;0
84;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;1;0;1;1
84;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;2;0;0;0
87;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;2;1;0;1
87;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;1;0;0;1
87;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;1;0;0;0
87;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;2;0;0;1
87;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;1;0;0;1
